SSIM High,SSIM Low
0.22203560627079044,0.5376440547655341
0.24745269607997553,0.48979892886834175
0.21440549122538785,0.7048388262558292
0.2620947205301414,0.6394286273056662
0.33313265921629315,0.448108696990825
0.1723450561544778,0.5221045852959877
0.23662833599134114,0.367565304905537
0.1878780500749727,0.4842639651205694
0.17873817745944243,0.6347101009921898
0.1657919405842627,0.5918258712939848
0.21117562799731945,0.3519727238330752
0.20508883546678447,0.5085456009813534
0.11620839458466925,0.6953003383058861
0.1795136784409087,0.49556952562806433
0.1247923569388763,0.610789307646722
0.2232128330637214,0.48191381340737854
0.22303494545927624,0.6259810294340503
0.23450238566738305,0.6128205346173633
0.3421442352314629,0.6402183142249703
0.11860136138686861,0.6065861634191322
